examples.numbersDebugVarWld.NumbersDebug1_1,examples.numbersDebugVarWld.NumbersDebug1_2,examples.numbersDebugVarWld.NumbersDebug1_3,examples.numbersDebugVarWld.NumbersDebug1_4,examples.numbersDebugVarWld.NumbersDebug1_5,examples.numbersDebugVarWld.NumbersDebug1_6,examples.numbersDebugVarWld.NumbersDebug1_7,examples.numbersDebugVarWld.NumbersDebug1_8,examples.numbersDebugVarWld.NumbersDebug1_9,examples.numbersDebugVarWld.NumbersDebug1_10,examples.numbersDebugVarWld.NumbersDebug1_11,examples.numbersDebugVarWld.NumbersDebug1_12,examples.numbersDebugVarWld.NumbersDebug1_13,examples.numbersDebugVarWld.NumbersDebug1_14,examples.numbersDebugVarWld.NumbersDebug1_15,examples.numbersDebugVarWld.NumbersDebug1_16,examples.numbersDebugVarWld.NumbersDebug1_17,examples.numbersDebugVarWld.NumbersDebug1_18,examples.numbersDebugVarWld.NumbersDebug1_19,examples.numbersDebugVarWld.NumbersDebug1_20,examples.numbersDebugVarWld.NumbersDebug1_21,examples.numbersDebugVarWld.NumbersDebug1_22,examples.numbersDebugVarWld.NumbersDebug1_23,examples.numbersDebugVarWld.NumbersDebug1_24,examples.numbersDebugVarWld.NumbersDebug2_1,examples.numbersDebugVarWld.NumbersDebug2_2,examples.numbersDebugVarWld.NumbersDebug2_3,examples.numbersDebugVarWld.NumbersDebug2_4,examples.numbersDebugVarWld.NumbersDebug2_5,examples.numbersDebugVarWld.NumbersDebug2_6,examples.numbersDebugVarWld.NumbersDebug2_7,examples.numbersDebugVarWld.NumbersDebug2_8,examples.numbersDebugVarWld.NumbersDebug2_9,examples.numbersDebugVarWld.NumbersDebug2_10,examples.numbersDebugVarWld.NumbersDebug2_11,examples.numbersDebugVarWld.NumbersDebug2_12,examples.numbersDebugVarWld.NumbersDebug2_13,examples.numbersDebugVarWld.NumbersDebug2_14,examples.numbersDebugVarWld.NumbersDebug2_15,examples.numbersDebugVarWld.NumbersDebug2_16,examples.numbersDebugVarWld.NumbersDebug2_17,examples.numbersDebugVarWld.NumbersDebug2_18,examples.numbersDebugVarWld.NumbersDebug2_19,examples.numbersDebugVarWld.NumbersDebug2_20,examples.numbersDebugVarWld.NumbersDebug2_21,examples.numbersDebugVarWld.NumbersDebug2_22,examples.numbersDebugVarWld.NumbersDebug2_23,examples.numbersDebugVarWld.NumbersDebug2_24,BatteryDropTime
0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0
0.0,0.0,0.0,0.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0
0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0
0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
0.0,0.0,0.0,0.0,86.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0
