0,0,0,0,0,0,0,0,0,160,160
59,62,65,0,0,57,57,56,0,58,65
0,0,0,0,0,0,0,0,157,0,157
0,0,0,0,0,157,0,0,0,0,157
58,60,0,62,0,0,63,0,60,0,63
0,0,0,100,0,0,0,95,0,103,103
0,0,0,0,96,97,0,0,99,0,99
0,65,0,0,0,61,63,62,0,0,65
60,63,61,59,0,57,64,62,60,63,64
129,0,132,0,0,0,0,0,0,0,132
0,0,99,99,0,0,0,97,0,0,99
0,0,127,0,0,0,0,0,129,0,129
0,64,0,65,0,0,0,63,0,65,65
0,98,0,95,0,98,0,0,0,0,98
0,99,0,0,96,0,0,0,0,95,99
0,65,0,0,59,0,59,56,0,62,65
60,64,63,0,64,0,61,63,56,56,64
0,165,0,0,0,0,0,0,0,0,165
0,0,0,57,0,55,63,57,64,55,64
0,0,0,0,0,0,159,0,0,0,159
62,64,0,63,0,63,0,63,57,58,64
65,0,64,60,57,0,61,0,61,0,65
57,59,63,61,65,61,57,61,64,56,65
59,56,61,60,65,58,0,59,0,56,65
162,0,0,0,0,0,0,0,0,0,162
55,56,58,57,57,0,62,0,59,63,63
59,57,0,64,57,57,62,59,59,57,64
65,62,61,0,63,55,63,62,57,0,65
55,60,62,63,59,59,0,0,58,58,63
0,0,0,101,104,0,0,97,0,0,104
0,0,0,0,0,0,132,0,0,135,135
65,58,0,0,0,0,58,0,55,0,65
61,62,58,57,57,60,55,57,61,59,62
0,0,0,0,0,0,157,0,0,0,157
55,60,58,64,60,0,63,64,0,63,64
0,55,57,0,0,61,0,58,0,55,61
55,60,59,0,0,60,55,63,0,60,63
61,63,59,55,60,0,57,65,61,65,65
0,161,0,0,0,0,0,0,0,0,161
58,0,0,0,63,0,58,63,61,0,63
60,58,56,64,58,0,61,0,59,55,64
155,0,0,0,0,0,0,0,0,0,155
56,63,64,56,65,60,55,59,0,58,65
0,0,0,64,0,0,61,61,58,0,64
63,0,0,57,56,0,60,0,63,57,63
0,0,58,59,62,64,65,61,61,0,65
0,0,0,164,0,0,0,0,0,0,164
0,0,58,65,0,62,58,60,56,0,65
0,63,58,59,65,64,59,56,0,64,65
0,0,0,0,99,0,103,101,0,0,103
0,0,60,56,62,59,55,0,55,0,62
0,99,0,96,0,104,0,0,0,0,104
0,0,0,0,0,0,157,0,0,0,157
0,0,130,0,0,0,0,129,0,0,130
0,0,0,63,56,57,64,62,0,0,64
64,63,60,56,60,0,62,56,62,62,64
63,62,61,55,56,61,57,0,59,59,63
0,0,0,0,0,99,0,0,97,99,99
0,62,56,63,62,57,62,55,55,59,63
0,0,0,0,0,103,0,105,0,100,105
0,0,155,0,0,0,0,0,0,0,155
95,0,0,105,0,0,0,103,0,0,105
64,0,0,0,0,0,56,0,65,61,65
0,60,65,58,64,0,55,64,0,0,65
55,0,60,64,64,0,56,60,0,0,64
60,55,0,0,57,55,62,56,62,65,65
55,64,0,62,0,55,61,0,0,59,64
0,95,0,0,0,0,0,0,95,103,103
57,56,56,64,61,64,64,62,63,56,64
0,0,0,0,59,0,58,55,0,61,61
125,0,128,0,0,0,0,0,0,0,128
0,0,0,0,0,0,0,158,0,0,158
58,61,62,62,0,57,0,57,65,0,65
64,59,65,59,58,55,63,58,63,62,65
64,56,55,56,64,58,0,58,0,56,64
62,0,0,0,0,61,0,0,65,59,65
0,61,64,58,63,65,63,61,65,60,65
0,0,126,132,0,0,0,0,0,0,132
58,0,0,61,60,63,0,0,59,58,63
0,0,0,0,59,65,64,64,56,56,65
58,56,0,58,59,58,0,56,60,60,60
0,63,62,0,55,65,64,55,60,58,65
0,0,0,0,0,0,0,128,0,135,135
0,0,59,0,65,0,62,0,56,55,65
0,0,0,0,0,132,0,0,0,132,132
